Id,SalePrice
1461,128089
1462,164616
1463,170773
1464,174278
1465,218592
1466,174825
1467,163840
1468,171190
1469,179140
1470,126623
1471,199969
1472,94084
1473,99217
1474,162824
1475,139545
1476,347551
1477,245392
1478,299868
1479,284473
1480,520407
1481,316253
1482,225650
1483,163887
1484,160402
1485,164924
1486,185582
1487,336216
1488,250288
1489,194110
1490,187460
1491,180442
1492,121237
1493,176778
1494,300061
1495,318376
1496,212545
1497,191116
1498,150864
1499,149999
1500,130706
1501,165720
1502,148618
1503,255439
1504,240402
1505,211738
1506,190356
1507,247148
1508,198132
1509,169652
1510,144168
1511,145694
1512,168989
1513,170508
1514,162720
1515,190323
1516,179605
1517,151974
1518,145856
1519,213857
1520,140326
1521,143688
1522,174758
1523,112918
1524,128634
1525,133612
1526,131528
1527,110841
1528,122440
1529,144109
1530,169308
1531,132121
1532,119187
1533,133698
1534,116829
1535,158526
1536,131471
1537,104304
1538,180707
1539,274102
1540,162860
1541,167486
1542,148763
1543,226074
1544,104311
1545,106461
1546,118721
1547,138498
1548,138996
1549,110470
1550,152308
1551,134600
1552,152113
1553,144883
1554,103962
1555,170056
1556,99481
1557,152384
1558,100008
1559,137323
1560,161453
1561,178073
1562,120199
1563,127076
1564,148519
1565,151759
1566,234147
1567,103221
1568,217931
1569,154190
1570,130422
1571,137286
1572,144307
1573,237833
1574,150000
1575,205738
1576,198319
1577,191399
1578,175028
1579,142479
1580,188915
1581,129476
1582,128059
1583,334304
1584,236962
1585,142414
1586,85871
1587,111741
1588,143521
1589,107916
1590,130583
1591,104123
1592,132707
1593,122609
1594,172994
1595,140905
1596,241813
1597,190853
1598,179652
1599,210213
1600,209420
1601,85179
1602,118723
1603,110608
1604,285042
1605,260039
1606,172020
1607,205148
1608,203916
1609,177962
1610,150746
1611,149879
1612,146163
1613,154618
1614,124794
1615,84894
1616,81898
1617,89579
1618,121801
1619,118724
1620,179601
1621,126921
1622,145506
1623,306877
1624,195322
1625,138948
1626,183659
1627,179572
1628,310528
1629,168098
1630,373770
1631,238681
1632,254633
1633,160026
1634,170211
1635,173615
1636,159662
1637,165761
1638,215918
1639,170506
1640,251674
1641,176766
1642,214841
1643,243357
1644,229096
1645,165677
1646,159150
1647,176028
1648,140223
1649,130942
1650,125875
1651,114272
1652,94134
1653,97289
1654,164330
1655,158461
1656,159942
1657,164330
1658,159069
1659,145118
1660,144709
1661,415266
1662,357607
1663,378194
1664,489390
1665,307954
1666,350883
1667,354605
1668,312008
1669,280875
1670,322716
1671,265264
1672,551143
1673,312033
1674,251492
1675,171071
1676,173764
1677,195045
1678,470597
1679,404676
1680,313906
1681,256499
1682,311100
1683,186701
1684,174135
1685,172234
1686,172856
1687,160309
1688,180082
1689,179642
1690,178653
1691,164869
1692,263359
1693,160274
1694,176708
1695,168097
1696,272016
1697,168298
1698,348910
1699,337438
1700,232027
1701,296693
1702,273149
1703,259483
1704,312662
1705,237139
1706,455560
1707,199615
1708,202318
1709,278595
1710,236859
1711,247421
1712,254100
1713,252359
1714,219069
1715,198518
1716,173730
1717,158544
1718,140006
1719,186752
1720,250935
1721,170918
1722,137609
1723,151947
1724,210215
1725,235560
1726,174389
1727,165180
1728,182489
1729,166750
1730,173346
1731,120583
1732,136828
1733,133481
1734,133275
1735,128812
1736,117576
1737,392364
1738,199653
